value: 0.16454013683343732   policy: 1.3940958682747357   loss: 1.5586360692977905
value: 0.19605537448160448   policy: 1.3474527098533866   loss: 1.5435080528259277
value: 0.1455459973544563   policy: 1.3649926588102035   loss: 1.5105386972427368
value: 0.13784604294059496   policy: 1.4308139619761078   loss: 1.568660020828247
value: 0.14988365750075933   policy: 1.4233813687483126   loss: 1.5732649564743042
value: 0.15392686480935286   policy: 1.416910642554403   loss: 1.5708374977111816
value: 0.11959774619654605   policy: 1.43013671875   loss: 1.5497344732284546
value: 0.1392826044423678   policy: 1.4531442265276746   loss: 1.5924268960952759
value: 0.15181250964055829   policy: 1.4605896582343916   loss: 1.612402081489563
value: 0.16728873536539482   policy: 1.4735357095432011   loss: 1.6408244371414185
value: 0.1501287634103149   policy: 1.4192513592549396   loss: 1.5693801641464233
value: 0.16595558936294902   policy: 1.458549745361199   loss: 1.6245051622390747
value: 0.1614828001544773   policy: 1.4482623676813209   loss: 1.6097451448440552
value: 0.13458792216469798   policy: 1.4714561839613238   loss: 1.606044054031372
value: 0.17200675947877295   policy: 1.4797719209806965   loss: 1.6517786979675293
value: 0.1219154541892477   policy: 1.5223855282356336   loss: 1.6443010568618774
value: 0.15413379010084396   policy: 1.4972932968666932   loss: 1.651427149772644
value: 0.1653058848810222   policy: 1.491417735798592   loss: 1.6567234992980957
value: 0.13270875393474676   policy: 1.5196944214278199   loss: 1.6524032354354858
value: 0.15769129501276719   policy: 1.5175799745501894   loss: 1.6752712726593018
value: 0.1397463811901146   policy: 1.5557917592998498   loss: 1.6955381631851196
value: 0.15476585088589295   policy: 1.4756308520205756   loss: 1.6303966045379639
value: 0.1452545032166598   policy: 1.6171758551346629   loss: 1.7624303102493286
value: 0.16331026846902413   policy: 1.5820730108963816   loss: 1.7453832626342773
value: 0.14477405748869243   policy: 1.5833583470394736   loss: 1.7281323671340942
